# base	fc544d3b57f27f1422969fca0002cb2bff30ab17
# hardened	377c16e8de65d1b5885c4aa26e404f37b90aa2ca
# upstream	e40c72c823c6502906d4024933f0c119b5ca17cf
# target	ce3522c767bbffddaa71e7e8430e79140e4c554d
# Equality compares complete Git entries, including file mode.
# matches-base means the retained file delta is absent verbatim;
# diverged requires review. Neither is a semantic security verdict.
status	path	upstream	target
M	sys/fs/tarfs/tarfs_vnops.c	matches-base	matches-base
M	sys/fs/tmpfs/tmpfs_vnops.c	matches-base	diverged
M	sys/geom/geom_ctl.c	matches-base	diverged
M	sys/geom/geom_dev.c	matches-base	matches-base
M	sys/geom/geom_kern.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_control_acl.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_control_extattr.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_grsec_tpe.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_SKEL.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_aslr.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_common.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_hardening.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_internal.h	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_log.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_noexec.c	matches-base	matches-base
A	sys/hardenedbsd/hbsd_pax_segvguard.c	matches-base	matches-base
A	sys/i386/conf/HARDENEDBSD	matches-base	matches-base
A	sys/i386/conf/LATT-ASLR	matches-base	matches-base
M	sys/i386/i386/elf_machdep.c	matches-base	matches-base
M	sys/i386/i386/exec_machdep.c	matches-base	matches-base
D	sys/i386/linux/imgact_linux.c	matches-base	matches-base
M	sys/i386/linux/linux_sysvec.c	matches-base	diverged
D	sys/kern/imgact_aout.c	matches-base	matches-base
M	sys/kern/imgact_elf.c	matches-base	diverged
M	sys/kern/init_main.c	matches-base	matches-base
M	sys/kern/kern_descrip.c	matches-base	diverged
M	sys/kern/kern_environment.c	matches-base	diverged
M	sys/kern/kern_exec.c	matches-base	diverged
M	sys/kern/kern_fork.c	matches-base	diverged
M	sys/kern/kern_jail.c	matches-base	diverged
M	sys/kern/kern_linker.c	matches-base	diverged
M	sys/kern/kern_malloc.c	matches-base	diverged
M	sys/kern/kern_mib.c	matches-base	diverged
M	sys/kern/kern_module.c	matches-base	matches-base
M	sys/kern/kern_priv.c	matches-base	diverged
M	sys/kern/kern_proc.c	matches-base	diverged
M	sys/kern/kern_procctl.c	matches-base	diverged
M	sys/kern/kern_prot.c	matches-base	diverged
M	sys/kern/kern_racct.c	matches-base	matches-base
M	sys/kern/kern_resource.c	matches-base	diverged
M	sys/kern/kern_sharedpage.c	matches-base	matches-base
M	sys/kern/kern_shutdown.c	matches-base	diverged
M	sys/kern/kern_sig.c	matches-base	diverged
M	sys/kern/kern_sysctl.c	matches-base	diverged
M	sys/kern/kern_thr.c	matches-base	diverged
M	sys/kern/kern_thread.c	matches-base	diverged
M	sys/kern/kern_ucoredump.c	matches-base	diverged
M	sys/kern/link_elf.c	matches-base	diverged
M	sys/kern/link_elf_obj.c	matches-base	matches-base
